Barcode	cell_types	UMAP_1	UMAP_2
BC002631-1	Tregs	-5.6492	-0.8839
BC000579-1	Tfh	3.9265	2.0809
BC001262-1	Th17	-3.6706	2.6947
BC002740-1	Act_circ	-4.1867	-2.6343
BC002507-1	Tregs	-4.4572	0.1089
BC002035-1	Th17	-4.2768	4.1106
BC000659-1	Tfh	4.4345	3.7284
BC003087-1	Act_circ	-2.3381	-3.3831
BC000292-1	Naive	4.2999	-0.8875
BC003126-1	Th_CTL_like	-1.2021	-4.0745
BC003803-1	Act2	3.0361	-3.4860
BC000134-1	Naive	5.0795	0.9440
BC000853-1	Th2	0.1920	4.8772
BC001165-1	Th17	-2.8840	3.4484
BC003002-1	Act_circ	-3.9826	-3.0456
BC001060-1	Th2	0.7303	5.0710
BC001971-1	Th17	-3.4318	3.1129
BC002466-1	Tregs	-3.9156	-0.8748
BC001720-1	Th17	-5.1571	4.0965
BC001630-1	Th17	-3.7004	3.3188
BC000551-1	Tfh	3.6018	2.3844
BC000375-1	Naive	6.8874	0.1465
BC000473-1	Tfh	4.7450	3.2241
BC003598-1	Act2	2.8093	-2.8663
BC003112-1	Th_CTL_like	0.1927	-5.4899
BC000535-1	Tfh	3.6478	2.5380
BC003150-1	Th_CTL_like	-0.3112	-4.9838
BC001610-1	Th17	-3.5237	3.0636
BC000815-1	Tfh	2.2383	4.3250
BC002491-1	Tregs	-4.6181	-0.2782
BC002441-1	Tregs	-5.4907	-0.5028
BC000819-1	Tfh	4.4822	4.0418
BC003197-1	Th_CTL_like	0.7129	-5.3671
BC002944-1	Act_circ	-3.6837	-1.7595
BC001739-1	Th17	-3.7000	3.7082
BC003381-1	Th_CTL_like	-0.2724	-3.5017
BC002401-1	Tregs	-3.9344	-1.0998
BC002537-1	Tregs	-4.2426	-1.0861
BC000989-1	Th2	0.4723	3.7955
BC000586-1	Tfh	3.2031	4.1982
BC000020-1	Naive	4.9771	0.6012
BC000339-1	Naive	4.4982	0.4665
BC001641-1	Th17	-4.1797	4.0504
BC002742-1	Act_circ	-4.4275	-2.4626
BC000447-1	Naive	5.5326	0.3685
BC002191-1	Th17	-3.9515	3.7910
BC001133-1	Th2	0.1716	5.0385
BC000892-1	Th2	-0.1177	5.3800
BC003288-1	Th_CTL_like	0.6016	-5.1480
BC002937-1	Act_circ	-3.0231	-2.8804
BC001686-1	Th17	-4.0969	3.7287
BC002456-1	Tregs	-4.1334	-0.0573
BC003784-1	Act2	2.0224	-3.0798
BC002119-1	Th17	-3.0239	3.8472
BC001350-1	Th17	-3.5995	2.4591
BC002048-1	Th17	-3.8595	3.9022
BC000348-1	Naive	5.4174	-0.2945
BC003365-1	Th_CTL_like	0.1253	-4.8770
BC002929-1	Act_circ	-4.4589	-4.8077
BC001189-1	Th17	-3.4974	3.1191
BC000003-1	Naive	4.5924	-0.7936
BC003050-1	Act_circ	-3.3894	-3.3725
BC003625-1	Act2	2.7086	-2.7055
BC000975-1	Th2	-0.9699	6.4422
BC002748-1	Act_circ	-2.1063	-2.2384
BC003395-1	Th_CTL_like	0.4184	-4.1742
BC001499-1	Th17	-3.3291	4.0150
BC002298-1	Th17	-4.6844	2.1043
BC002625-1	Tregs	-3.7998	-0.3638
BC002985-1	Act_circ	-4.1882	-3.7936
BC003212-1	Th_CTL_like	-0.0316	-5.0942
BC000532-1	Tfh	4.5011	1.9969
BC002115-1	Th17	-3.4745	4.2336
BC000802-1	Tfh	4.1074	3.1856
BC002974-1	Act_circ	-4.7114	-4.8056
